value,r,g,b,a,hex
0.0,80,80,80,40,#50505028
5.0,90,90,90,45,#5a5a5a2d
10.0,100,100,100,50,#64646432
15.0,102,102,102,55,#66666637
20.0,104,104,104,60,#6868683c
25.0,106,106,106,65,#6a6a6a41
30.0,108,108,108,70,#6c6c6c46
35.0,110,110,110,75,#6e6e6e4b
40.0,112,112,112,80,#70707050
45.0,114,114,114,85,#72727255
50.0,116,116,116,90,#7474745a
55.0,126,127,127,101,#7e7f7f65
60.0,136,139,138,113,#888b8a71
65.0,146,150,149,124,#9296957c
70.0,156,161,161,136,#9ca1a188
75.0,166,172,172,147,#a6acac93
80.0,176,184,183,159,#b0b8b79f
85.0,186,195,194,170,#bac3c2aa
90.0,198,205,204,174,#c6cdccae
95.0,211,215,215,178,#d3d7d7b2
100.0,233,233,225,200,#e9e9e1c8
