value,r,g,b,a,hex
0.0,64,128,203,157,#4080cb9d
5.0,150,185,225,157,#96b9e19d
10.0,243,243,243,157,#f3f3f39d
15.0,241,240,229,157,#f1f0e59d
20.0,239,237,215,157,#efedd79d
25.0,236,233,194,157,#ece9c29d
30.0,232,228,174,157,#e8e4ae9d
35.0,229,224,153,157,#e5e0999d
40.0,226,220,132,157,#e2dc849d
45.0,225,218,107,157,#e1da6b9d
50.0,224,216,82,157,#e0d8529d
55.0,224,214,57,157,#e0d6399d
60.0,223,212,32,157,#dfd4209d
65.0,223,194,42,157,#dfc22a9d
70.0,223,176,51,157,#dfb0339d
75.0,223,158,60,157,#df9e3c9d
80.0,223,140,70,157,#df8c469d
85.0,213,118,78,157,#d5764e9d
90.0,203,96,86,157,#cb60569d
95.0,193,74,94,157,#c14a5e9d
100.0,183,52,102,157,#b734669d
105.0,175,49,96,157,#af31609d
110.0,168,46,89,157,#a82e599d
115.0,160,43,83,157,#a02b539d
120.0,153,40,77,157,#99284d9d
125.0,145,36,70,157,#9124469d
130.0,137,33,64,157,#8921409d
135.0,130,30,58,157,#821e3a9d
140.0,122,27,52,157,#7a1b349d
145.0,115,24,45,157,#73182d9d
150.0,107,21,39,157,#6b15279d
155.0,101,19,35,157,#6513239d
160.0,94,17,31,157,#5e111f9d
165.0,88,15,28,157,#580f1c9d
170.0,81,13,24,157,#510d189d
175.0,75,10,20,157,#4b0a149d
180.0,69,8,16,157,#4508109d
185.0,62,6,12,157,#3e060c9d
190.0,56,4,9,157,#3804099d
195.0,49,2,5,157,#3102059d
200.0,43,0,1,157,#2b00019d
