value,r,g,b,a,hex
0.0,68,126,194,157,#447ec29d
10.0,66,128,195,157,#4280c39d
20.0,64,130,196,157,#4082c49d
30.0,62,132,198,157,#3e84c69d
40.0,60,134,199,157,#3c86c79d
50.0,79,148,181,157,#4f94b59d
60.0,98,161,163,157,#62a1a39d
70.0,138,186,127,157,#8aba7f9d
80.0,179,210,91,157,#b3d25b9d
90.0,202,214,74,157,#cad64a9d
100.0,225,218,56,157,#e1da389d
110.0,230,202,56,157,#e6ca389d
120.0,234,185,57,157,#eab9399d
130.0,234,154,64,157,#ea9a409d
140.0,233,123,72,157,#e97b489d
150.0,225,94,93,157,#e15e5d9d
160.0,217,66,114,157,#d942729d
170.0,191,55,100,157,#bf37649d
180.0,166,44,85,157,#a62c559d
190.0,140,33,70,157,#8c21469d
200.0,114,22,56,157,#7216389d
210.0,107,20,50,157,#6b14329d
220.0,100,18,45,157,#64122d9d
230.0,93,15,40,157,#5d0f289d
240.0,86,13,34,157,#560d229d
250.0,78,11,28,157,#4e0b1c9d
260.0,71,9,23,157,#4709179d
270.0,64,7,18,157,#4007129d
280.0,57,4,12,157,#39040c9d
290.0,50,2,6,157,#3202069d
300.0,43,0,1,157,#2b00019d
