value,r,g,b,a,hex
0.0,53,25,47,157,#35192f9d
10.0,53,25,47,157,#35192f9d
20.0,53,25,47,157,#35192f9d
30.0,53,25,47,157,#35192f9d
40.0,53,25,47,157,#35192f9d
50.0,53,25,47,157,#35192f9d
60.0,53,25,47,157,#35192f9d
70.0,53,25,47,157,#35192f9d
80.0,53,25,47,157,#35192f9d
90.0,53,25,47,157,#35192f9d
100.0,53,25,47,157,#35192f9d
110.0,53,25,47,157,#35192f9d
120.0,53,25,47,157,#35192f9d
130.0,53,25,47,157,#35192f9d
140.0,53,25,47,157,#35192f9d
150.0,53,25,47,157,#35192f9d
160.0,53,25,47,157,#35192f9d
170.0,53,25,47,157,#35192f9d
180.0,53,25,47,157,#35192f9d
190.0,82,37,73,157,#5225499d
200.0,110,49,99,157,#6e31639d
210.0,139,61,124,157,#8b3d7c9d
220.0,141,74,174,157,#8d4aae9d
230.0,104,94,212,157,#685ed49d
240.0,96,113,206,157,#6071ce9d
250.0,87,132,199,157,#5784c79d
260.0,79,151,193,157,#4f97c19d
270.0,80,160,189,157,#50a0bd9d
280.0,80,168,184,157,#50a8b89d
290.0,80,177,180,157,#50b1b49d
300.0,81,186,176,157,#51bab09d
310.0,82,194,171,157,#52c2ab9d
320.0,82,203,167,157,#52cba79d
330.0,76,202,142,157,#4cca8e9d
340.0,70,200,117,157,#46c8759d
350.0,65,198,92,157,#41c65c9d
360.0,59,197,67,157,#3bc5439d
370.0,88,193,57,157,#58c1399d
380.0,116,189,46,157,#74bd2e9d
390.0,145,186,36,157,#91ba249d
400.0,174,182,26,157,#aeb61a9d
410.0,202,178,15,157,#cab20f9d
420.0,231,174,5,157,#e7ae059d
430.0,231,163,8,157,#e7a3089d
440.0,231,151,10,157,#e7970a9d
450.0,231,140,12,157,#e78c0c9d
460.0,232,128,15,157,#e8800f9d
470.0,232,117,18,157,#e875129d
480.0,232,106,20,157,#e86a149d
490.0,232,94,22,157,#e85e169d
500.0,232,83,25,157,#e853199d
