value,r,g,b,a,hex
0.0,66,129,205,157,#4281cd9d
5.0,120,164,218,157,#78a4da9d
10.0,174,200,231,157,#aec8e79d
15.0,207,219,224,157,#cfdbe09d
20.0,240,238,216,157,#f0eed89d
25.0,233,229,160,157,#e9e5a09d
30.0,226,220,105,157,#e2dc699d
35.0,226,209,81,157,#e2d1519d
40.0,225,198,57,157,#e1c6399d
45.0,224,179,62,157,#e0b33e9d
50.0,224,160,66,157,#e0a0429d
55.0,224,141,70,157,#e08d469d
60.0,223,122,75,157,#df7a4b9d
65.0,219,109,84,157,#db6d549d
70.0,216,96,94,157,#d8605e9d
75.0,212,82,104,157,#d452689d
80.0,208,69,113,157,#d045719d
85.0,198,64,108,157,#c6406c9d
90.0,189,60,102,157,#bd3c669d
95.0,180,56,96,157,#b438609d
100.0,170,51,91,157,#aa335b9d
105.0,164,48,85,157,#a430559d
110.0,158,46,80,157,#9e2e509d
115.0,152,43,74,157,#982b4a9d
120.0,146,41,68,157,#9229449d
125.0,140,38,62,157,#8c263e9d
130.0,134,36,56,157,#8624389d
135.0,129,33,51,157,#8121339d
140.0,123,30,45,157,#7b1e2d9d
145.0,117,28,39,157,#751c279d
150.0,111,25,34,157,#6f19229d
155.0,105,23,28,157,#69171c9d
160.0,99,20,22,157,#6314169d
165.0,92,18,19,157,#5c12139d
170.0,85,15,17,157,#550f119d
175.0,78,12,14,157,#4e0c0e9d
180.0,71,10,12,157,#470a0c9d
185.0,64,8,9,157,#4008099d
190.0,57,5,6,157,#3905069d
195.0,50,2,4,157,#3202049d
200.0,43,0,1,157,#2b00019d
