value,r,g,b,a,hex
940.0,0,115,255,180,#0073ffb4
941.0,0,118,255,180,#0076ffb4
942.0,0,120,255,180,#0078ffb4
943.0,0,123,255,180,#007bffb4
944.0,0,126,255,180,#007effb4
945.0,0,129,255,180,#0081ffb4
946.0,0,132,255,180,#0084ffb4
947.0,0,134,255,180,#0086ffb4
948.0,0,137,255,180,#0089ffb4
949.0,0,140,255,180,#008cffb4
950.0,0,142,255,180,#008effb4
951.0,0,145,255,180,#0091ffb4
952.0,0,148,255,180,#0094ffb4
953.0,0,151,255,180,#0097ffb4
954.0,0,154,255,180,#009affb4
955.0,0,156,255,180,#009cffb4
956.0,0,159,255,180,#009fffb4
957.0,0,162,255,180,#00a2ffb4
958.0,0,164,255,180,#00a4ffb4
959.0,0,167,255,180,#00a7ffb4
960.0,0,170,255,180,#00aaffb4
961.0,4,172,253,180,#04acfdb4
962.0,8,174,251,180,#08aefbb4
963.0,11,176,249,180,#0bb0f9b4
964.0,15,178,247,180,#0fb2f7b4
965.0,19,180,245,180,#13b4f5b4
966.0,22,181,243,180,#16b5f3b4
967.0,26,183,241,180,#1ab7f1b4
968.0,30,185,239,180,#1eb9efb4
969.0,34,187,237,180,#22bbedb4
970.0,38,189,234,180,#26bdeab4
971.0,41,191,232,180,#29bfe8b4
972.0,45,193,230,180,#2dc1e6b4
973.0,49,195,228,180,#31c3e4b4
974.0,52,197,226,180,#34c5e2b4
975.0,56,198,224,180,#38c6e0b4
976.0,60,200,222,180,#3cc8deb4
977.0,64,202,220,180,#40cadcb4
978.0,68,204,218,180,#44ccdab4
979.0,71,206,216,180,#47ced8b4
980.0,75,208,214,180,#4bd0d6b4
981.0,78,209,213,180,#4ed1d5b4
982.0,82,210,212,180,#52d2d4b4
983.0,85,211,212,180,#55d3d4b4
984.0,88,213,211,180,#58d5d3b4
985.0,92,214,210,180,#5cd6d2b4
986.0,95,215,210,180,#5fd7d2b4
987.0,98,216,209,180,#62d8d1b4
988.0,101,217,208,180,#65d9d0b4
989.0,105,218,207,180,#69dacfb4
990.0,108,220,206,180,#6cdcceb4
991.0,111,221,206,180,#6fddceb4
992.0,115,222,205,180,#73decdb4
993.0,118,223,204,180,#76dfccb4
994.0,121,224,204,180,#79e0ccb4
995.0,124,225,203,180,#7ce1cbb4
996.0,128,226,202,180,#80e2cab4
997.0,131,228,201,180,#83e4c9b4
998.0,134,229,200,180,#86e5c8b4
999.0,138,230,200,180,#8ae6c8b4
1000.0,141,231,199,180,#8de7c7b4
1001.0,144,233,182,180,#90e9b6b4
1002.0,148,234,166,180,#94eaa6b4
1003.0,152,236,149,180,#98ec95b4
1004.0,155,237,132,180,#9bed84b4
1005.0,158,239,116,180,#9eef74b4
1006.0,162,241,99,180,#a2f163b4
1007.0,166,242,82,180,#a6f252b4
1008.0,169,244,65,180,#a9f441b4
1009.0,172,245,49,180,#acf531b4
1010.0,176,247,32,180,#b0f720b4
1011.0,182,241,29,180,#b6f11db4
1012.0,189,234,26,180,#bdea1ab4
1013.0,195,228,22,180,#c3e416b4
1014.0,202,222,19,180,#cade13b4
1015.0,208,216,16,180,#d0d810b4
1016.0,214,209,13,180,#d6d10db4
1017.0,221,203,10,180,#ddcb0ab4
1018.0,227,197,6,180,#e3c506b4
1019.0,234,190,3,180,#eabe03b4
1020.0,240,184,0,180,#f0b800b4
1021.0,241,179,1,180,#f1b301b4
1022.0,241,174,2,180,#f1ae02b4
1023.0,242,169,3,180,#f2a903b4
1024.0,242,164,4,180,#f2a404b4
1025.0,243,159,5,180,#f39f05b4
1026.0,243,154,6,180,#f39a06b4
1027.0,244,149,7,180,#f49507b4
1028.0,244,144,8,180,#f49008b4
1029.0,245,139,9,180,#f58b09b4
1030.0,246,134,10,180,#f6860ab4
1031.0,246,130,12,180,#f6820cb4
1032.0,247,125,13,180,#f77d0db4
1033.0,247,120,14,180,#f7780eb4
1034.0,248,115,15,180,#f8730fb4
1035.0,248,110,16,180,#f86e10b4
1036.0,249,105,17,180,#f96911b4
1037.0,249,100,18,180,#f96412b4
1038.0,250,95,19,180,#fa5f13b4
1039.0,250,90,20,180,#fa5a14b4
1040.0,251,85,21,180,#fb5515b4
1041.0,251,83,23,180,#fb5317b4
1042.0,250,82,25,180,#fa5219b4
1043.0,250,80,27,180,#fa501bb4
1044.0,249,79,29,180,#f94f1db4
1045.0,249,77,30,180,#f94d1eb4
1046.0,249,76,32,180,#f94c20b4
1047.0,248,74,34,180,#f84a22b4
1048.0,248,73,36,180,#f84924b4
1049.0,247,71,38,180,#f74726b4
1050.0,247,70,40,180,#f74628b4
1051.0,247,68,42,180,#f7442ab4
1052.0,246,66,44,180,#f6422cb4
1053.0,246,65,46,180,#f6412eb4
1054.0,245,63,48,180,#f53f30b4
1055.0,245,62,50,180,#f53e32b4
1056.0,245,60,51,180,#f53c33b4
1057.0,244,59,53,180,#f43b35b4
1058.0,244,57,55,180,#f43937b4
1059.0,243,56,57,180,#f33839b4
1060.0,243,54,59,180,#f3363bb4
1061.0,241,51,56,180,#f13338b4
1062.0,238,49,53,180,#ee3135b4
1063.0,236,46,50,180,#ec2e32b4
1064.0,234,43,47,180,#ea2b2fb4
1065.0,232,40,44,180,#e8282cb4
1066.0,230,38,41,180,#e62629b4
1067.0,227,35,38,180,#e32326b4
1068.0,225,32,35,180,#e12023b4
1069.0,223,30,32,180,#df1e20b4
1070.0,220,27,30,180,#dc1b1eb4
1071.0,218,24,27,180,#da181bb4
1072.0,216,22,24,180,#d81618b4
1073.0,214,19,21,180,#d61315b4
1074.0,212,16,18,180,#d41012b4
1075.0,209,14,15,180,#d10e0fb4
1076.0,207,11,12,180,#cf0b0cb4
1077.0,205,8,9,180,#cd0809b4
1078.0,202,5,6,180,#ca0506b4
1079.0,200,3,3,180,#c80303b4
1080.0,198,0,0,180,#c60000b4
