value,r,g,b,a,hex
0.08,0,0,0,0,#00000000
0.18,144,98,137,128,#90628980
0.28,115,0,115,128,#73007380
0.38,165,0,165,128,#a500a580
0.48,191,0,191,128,#bf00bf80
0.58,210,0,210,128,#d200d280
0.68,197,7,217,128,#c507d980
0.78,151,20,212,128,#9714d480
0.88,105,34,206,128,#6922ce80
0.98,59,47,201,128,#3b2fc980
1.08,43,57,207,128,#2b39cf80
1.18,35,65,216,128,#2341d880
1.28,27,73,226,128,#1b49e280
1.38,18,82,235,128,#1252eb80
1.48,10,90,244,128,#0a5af480
1.58,2,98,253,128,#0262fd80
1.68,0,104,246,128,#0068f680
1.78,0,110,234,128,#006eea80
1.88,0,116,222,128,#0074de80
1.98,0,121,211,128,#0079d380
2.08,0,127,199,128,#007fc780
2.18,0,132,187,128,#0084bb80
2.28,0,138,176,128,#008ab080
2.38,0,143,164,128,#008fa480
2.48,0,149,152,128,#00959880
2.58,0,153,145,128,#00999180
2.68,0,156,138,128,#009c8a80
2.78,0,159,131,128,#009f8380
2.88,0,163,125,128,#00a37d80
2.98,0,166,118,128,#00a67680
3.08,0,169,111,128,#00a96f80
3.18,0,173,105,128,#00ad6980
3.28,0,176,98,128,#00b06280
3.38,0,179,91,128,#00b35b80
3.48,0,183,85,128,#00b75580
3.58,0,186,78,128,#00ba4e80
3.68,0,189,71,128,#00bd4780
3.78,0,193,65,128,#00c14180
3.88,0,196,58,128,#00c43a80
3.98,0,199,51,128,#00c73380
4.08,3,202,48,128,#03ca3080
4.18,8,204,46,128,#08cc2e80
4.28,12,207,44,128,#0ccf2c80
4.38,17,209,42,128,#11d12a80
4.48,21,211,40,128,#15d32880
4.58,25,214,37,128,#19d62580
4.68,30,216,35,128,#1ed82380
4.78,34,219,33,128,#22db2180
4.88,38,221,31,128,#26dd1f80
4.98,43,223,29,128,#2bdf1d80
5.08,47,226,27,128,#2fe21b80
5.18,51,228,24,128,#33e41880
5.28,56,231,22,128,#38e71680
5.38,60,233,20,128,#3ce91480
5.48,64,235,18,128,#40eb1280
5.58,69,238,16,128,#45ee1080
5.68,73,240,13,128,#49f00d80
5.78,77,243,11,128,#4df30b80
5.88,82,245,9,128,#52f50980
5.98,86,247,7,128,#56f70780
6.08,90,250,5,128,#5afa0580
6.18,95,252,3,128,#5ffc0380
6.28,99,255,0,128,#63ff0080
6.38,101,255,0,128,#65ff0080
6.48,102,255,0,128,#66ff0080
6.58,104,255,0,128,#68ff0080
6.68,105,255,0,128,#69ff0080
6.78,106,255,0,128,#6aff0080
6.88,108,255,0,128,#6cff0080
6.98,109,255,0,128,#6dff0080
7.08,111,255,0,128,#6fff0080
7.18,112,255,0,128,#70ff0080
7.28,113,255,0,128,#71ff0080
7.38,115,255,0,128,#73ff0080
7.48,116,255,0,128,#74ff0080
7.58,117,255,0,128,#75ff0080
7.68,119,255,0,128,#77ff0080
7.78,120,255,0,128,#78ff0080
7.88,121,255,0,128,#79ff0080
7.98,123,255,0,128,#7bff0080
8.08,124,255,0,128,#7cff0080
8.18,125,255,0,128,#7dff0080
8.28,127,255,0,128,#7fff0080
8.38,128,255,0,128,#80ff0080
8.48,129,255,0,128,#81ff0080
8.58,131,255,0,128,#83ff0080
8.68,132,255,0,128,#84ff0080
8.78,134,255,0,128,#86ff0080
8.88,135,255,0,128,#87ff0080
8.98,136,255,0,128,#88ff0080
9.08,138,255,0,128,#8aff0080
9.18,139,255,0,128,#8bff0080
9.28,140,255,0,128,#8cff0080
9.38,142,255,0,128,#8eff0080
9.48,143,255,0,128,#8fff0080
9.58,144,255,0,128,#90ff0080
9.68,146,255,0,128,#92ff0080
9.78,147,255,0,128,#93ff0080
9.88,148,255,0,128,#94ff0080
9.98,150,255,0,128,#96ff0080
10.08,151,255,0,128,#97ff0080
10.18,152,255,0,128,#98ff0080
10.28,152,255,0,128,#98ff0080
10.38,153,255,0,128,#99ff0080
10.48,154,255,0,128,#9aff0080
10.58,155,255,0,128,#9bff0080
10.68,156,255,0,128,#9cff0080
10.78,156,255,0,128,#9cff0080
10.88,157,255,0,128,#9dff0080
