value,r,g,b,a,hex
0.0,255,0,0,157,#ff00009d
1.0,255,9,9,157,#ff09099d
2.0,254,19,19,157,#fe13139d
3.0,254,28,28,157,#fe1c1c9d
4.0,253,37,38,157,#fd25269d
5.0,253,47,47,157,#fd2f2f9d
6.0,253,56,57,157,#fd38399d
7.0,252,66,66,157,#fc42429d
8.0,252,75,76,157,#fc4b4c9d
9.0,251,84,85,157,#fb54559d
10.0,251,94,94,157,#fb5e5e9d
11.0,251,103,104,157,#fb67689d
12.0,250,112,113,157,#fa70719d
13.0,250,118,115,157,#fa76739d
14.0,250,119,110,157,#fa776e9d
15.0,251,120,105,157,#fb78699d
16.0,251,121,100,157,#fb79649d
17.0,251,122,94,157,#fb7a5e9d
18.0,252,124,89,157,#fc7c599d
19.0,252,125,84,157,#fc7d549d
20.0,252,126,78,157,#fc7e4e9d
21.0,253,127,73,157,#fd7f499d
22.0,253,128,68,157,#fd80449d
23.0,253,130,63,157,#fd823f9d
24.0,254,131,57,157,#fe83399d
25.0,254,132,52,157,#fe84349d
26.0,254,135,57,157,#fe87399d
27.0,254,138,63,157,#fe8a3f9d
28.0,254,142,68,157,#fe8e449d
29.0,254,145,73,157,#fe91499d
30.0,254,148,78,157,#fe944e9d
31.0,254,151,84,157,#fe97549d
32.0,255,154,89,157,#ff9a599d
33.0,255,158,94,157,#ff9e5e9d
34.0,255,161,100,157,#ffa1649d
35.0,255,164,105,157,#ffa4699d
36.0,255,167,110,157,#ffa76e9d
37.0,255,170,115,157,#ffaa739d
38.0,253,175,118,157,#fdaf769d
39.0,249,181,118,157,#f9b5769d
40.0,245,187,118,157,#f5bb769d
41.0,241,193,118,157,#f1c1769d
42.0,237,199,118,157,#edc7769d
43.0,233,205,118,157,#e9cd769d
44.0,229,211,119,157,#e5d3779d
45.0,225,217,119,157,#e1d9779d
46.0,221,223,119,157,#dddf779d
47.0,217,229,119,157,#d9e5779d
48.0,213,235,119,157,#d5eb779d
49.0,209,241,119,157,#d1f1779d
50.0,205,247,119,157,#cdf7779d
51.0,198,247,121,157,#c6f7799d
52.0,191,247,123,157,#bff77b9d
53.0,184,248,125,157,#b8f87d9d
54.0,177,248,127,157,#b1f87f9d
55.0,170,248,129,157,#aaf8819d
56.0,163,248,131,157,#a3f8839d
57.0,156,249,134,157,#9cf9869d
58.0,149,249,136,157,#95f9889d
59.0,142,249,138,157,#8ef98a9d
60.0,135,249,140,157,#87f98c9d
61.0,128,250,142,157,#80fa8e9d
62.0,121,250,144,157,#79fa909d
63.0,115,247,149,157,#73f7959d
64.0,111,242,157,157,#6ff29d9d
65.0,108,237,166,157,#6ceda69d
66.0,104,232,174,157,#68e8ae9d
67.0,100,227,182,157,#64e3b69d
68.0,97,222,191,157,#61debf9d
69.0,93,217,199,157,#5dd9c79d
70.0,89,212,207,157,#59d4cf9d
71.0,86,206,216,157,#56ced89d
72.0,82,201,224,157,#52c9e09d
73.0,78,196,232,157,#4ec4e89d
74.0,75,191,241,157,#4bbff19d
75.0,71,186,249,157,#47baf99d
76.0,68,185,247,157,#44b9f79d
77.0,66,184,245,157,#42b8f59d
78.0,63,184,244,157,#3fb8f49d
79.0,61,183,242,157,#3db7f29d
80.0,58,182,240,157,#3ab6f09d
81.0,56,181,238,157,#38b5ee9d
82.0,53,180,237,157,#35b4ed9d
83.0,51,180,235,157,#33b4eb9d
84.0,48,179,233,157,#30b3e99d
85.0,45,178,231,157,#2db2e79d
86.0,43,177,230,157,#2bb1e69d
87.0,40,176,228,157,#28b0e49d
88.0,39,179,227,157,#27b3e39d
89.0,38,185,228,157,#26b9e49d
90.0,37,192,228,157,#25c0e49d
91.0,36,198,229,157,#24c6e59d
92.0,35,204,229,157,#23cce59d
93.0,35,211,230,157,#23d3e69d
94.0,34,217,230,157,#22d9e69d
95.0,33,223,231,157,#21dfe79d
96.0,32,230,231,157,#20e6e79d
97.0,31,236,232,157,#1fece89d
98.0,31,242,232,157,#1ff2e89d
99.0,30,249,233,157,#1ef9e99d
100.0,29,255,233,157,#1dffe99d
