value,r,g,b,a,hex
0.0,95,143,197,157,#5f8fc59d
1.0,98,143,180,157,#628fb49d
2.0,100,144,163,157,#6490a39d
3.0,102,144,147,157,#6690939d
4.0,105,144,130,157,#6990829d
5.0,108,144,113,157,#6c90719d
6.0,110,145,96,157,#6e91609d
7.0,112,145,79,157,#70914f9d
8.0,115,145,63,157,#73913f9d
9.0,118,146,46,157,#76922e9d
10.0,120,146,29,157,#78921d9d
11.0,130,149,27,157,#82951b9d
12.0,141,152,24,157,#8d98189d
13.0,151,155,22,157,#979b169d
14.0,161,158,20,157,#a19e149d
15.0,172,161,18,157,#aca1129d
16.0,182,164,15,157,#b6a40f9d
17.0,192,167,13,157,#c0a70d9d
18.0,202,170,11,157,#caaa0b9d
19.0,213,173,8,157,#d5ad089d
20.0,223,176,6,157,#dfb0069d
21.0,224,168,8,157,#e0a8089d
22.0,226,160,9,157,#e2a0099d
23.0,227,152,10,157,#e3980a9d
24.0,228,144,12,157,#e4900c9d
25.0,230,136,14,157,#e6880e9d
26.0,231,128,15,157,#e7800f9d
27.0,232,120,16,157,#e878109d
28.0,233,112,18,157,#e970129d
29.0,235,104,20,157,#eb68149d
30.0,236,96,21,157,#ec60159d
31.0,226,91,20,157,#e25b149d
32.0,216,85,19,157,#d855139d
33.0,207,80,18,157,#cf50129d
34.0,197,75,17,157,#c54b119d
35.0,187,70,16,157,#bb46109d
36.0,177,64,14,157,#b1400e9d
37.0,167,59,13,157,#a73b0d9d
38.0,158,54,12,157,#9e360c9d
39.0,148,48,11,157,#94300b9d
40.0,138,43,10,157,#8a2b0a9d
