value,r,g,b,a,hex
0.0,0,0,0,0,#00000000
0.1,47,46,70,78,#2f2e464e
0.2,94,91,141,157,#5e5b8d9d
0.3,88,95,151,157,#585f979d
0.4,81,100,162,157,#5164a29d
0.5,75,104,172,157,#4b68ac9d
0.6,74,114,172,157,#4a72ac9d
0.7,73,124,172,157,#497cac9d
0.8,72,133,171,157,#4885ab9d
0.9,71,143,171,157,#478fab9d
1.0,70,153,171,157,#4699ab9d
1.1,71,156,164,157,#479ca49d
1.2,72,159,157,157,#489f9d9d
1.3,74,162,150,157,#4aa2969d
1.4,75,165,143,157,#4ba58f9d
1.5,76,168,136,157,#4ca8889d
1.6,77,171,128,157,#4dab809d
1.7,78,174,121,157,#4eae799d
1.8,80,177,114,157,#50b1729d
1.9,81,180,107,157,#51b46b9d
2.0,82,183,100,157,#52b7649d
2.1,85,184,99,157,#55b8639d
2.2,88,185,97,157,#58b9619d
2.3,91,186,96,157,#5bba609d
2.4,94,187,95,157,#5ebb5f9d
2.5,97,188,94,157,#61bc5e9d
2.6,100,189,92,157,#64bd5c9d
2.7,103,190,91,157,#67be5b9d
2.8,106,191,90,157,#6abf5a9d
2.9,109,192,88,157,#6dc0589d
3.0,112,194,87,157,#70c2579d
3.1,116,195,86,157,#74c3569d
3.2,119,196,84,157,#77c4549d
3.3,122,197,83,157,#7ac5539d
3.4,125,198,82,157,#7dc6529d
3.5,128,199,80,157,#80c7509d
3.6,131,200,79,157,#83c84f9d
3.7,134,201,78,157,#86c94e9d
3.8,137,202,77,157,#89ca4d9d
3.9,140,203,75,157,#8ccb4b9d
4.0,143,204,74,157,#8fcc4a9d
4.1,146,205,73,157,#92cd499d
4.2,149,206,73,157,#95ce499d
4.3,153,206,72,157,#99ce489d
4.4,156,207,72,157,#9ccf489d
4.5,159,208,71,157,#9fd0479d
4.6,162,208,71,157,#a2d0479d
4.7,165,209,70,157,#a5d1469d
4.8,169,210,70,157,#a9d2469d
4.9,172,211,69,157,#acd3459d
5.0,175,212,68,157,#afd4449d
5.1,178,212,68,157,#b2d4449d
5.2,181,213,67,157,#b5d5439d
5.3,185,214,67,157,#b9d6439d
5.4,188,214,66,157,#bcd6429d
5.5,191,215,66,157,#bfd7429d
5.6,194,216,65,157,#c2d8419d
5.7,197,217,65,157,#c5d9419d
5.8,201,218,64,157,#c9da409d
5.9,204,218,64,157,#ccda409d
6.0,207,219,63,157,#cfdb3f9d
6.1,208,217,63,157,#d0d93f9d
6.2,208,215,63,157,#d0d73f9d
6.3,209,213,63,157,#d1d53f9d
6.4,209,211,63,157,#d1d33f9d
6.5,210,210,63,157,#d2d23f9d
6.6,211,208,63,157,#d3d03f9d
6.7,211,206,63,157,#d3ce3f9d
6.8,212,204,63,157,#d4cc3f9d
6.9,212,202,63,157,#d4ca3f9d
7.0,213,200,63,157,#d5c83f9d
7.1,214,198,63,157,#d6c63f9d
7.2,214,196,63,157,#d6c43f9d
7.3,215,194,63,157,#d7c23f9d
7.4,215,192,63,157,#d7c03f9d
7.5,216,190,63,157,#d8be3f9d
7.6,217,189,63,157,#d9bd3f9d
7.7,217,187,63,157,#d9bb3f9d
7.8,218,185,63,157,#dab93f9d
7.9,218,183,63,157,#dab73f9d
8.0,219,181,63,157,#dbb53f9d
8.1,219,180,63,157,#dbb43f9d
8.2,219,178,63,157,#dbb23f9d
8.3,219,177,64,157,#dbb1409d
8.4,219,176,64,157,#dbb0409d
8.5,218,175,64,157,#daaf409d
8.6,218,174,64,157,#daae409d
8.7,218,172,64,157,#daac409d
8.8,218,171,65,157,#daab419d
8.9,218,170,65,157,#daaa419d
9.0,218,168,65,157,#daa8419d
9.1,218,167,65,157,#daa7419d
9.2,218,166,65,157,#daa6419d
9.3,218,165,66,157,#daa5429d
9.4,218,164,66,157,#daa4429d
9.5,218,162,66,157,#daa2429d
9.6,217,161,66,157,#d9a1429d
9.7,217,160,66,157,#d9a0429d
9.8,217,158,67,157,#d99e439d
9.9,217,157,67,157,#d99d439d
10.0,217,156,67,157,#d99c439d
10.1,217,155,67,157,#d99b439d
10.2,217,155,67,157,#d99b439d
10.3,217,154,68,157,#d99a449d
10.4,217,153,68,157,#d999449d
10.5,217,153,68,157,#d999449d
10.6,217,152,68,157,#d998449d
10.7,217,151,69,157,#d997459d
10.8,217,151,69,157,#d997459d
10.9,217,150,69,157,#d996459d
11.0,217,149,69,157,#d995459d
11.1,217,149,69,157,#d995459d
11.2,217,148,70,157,#d994469d
11.3,217,147,70,157,#d993469d
11.4,217,146,70,157,#d992469d
11.5,217,146,70,157,#d992469d
11.6,217,145,71,157,#d991479d
11.7,217,144,71,157,#d990479d
11.8,217,144,71,157,#d990479d
11.9,217,143,71,157,#d98f479d
12.0,217,142,71,157,#d98e479d
12.1,217,142,72,157,#d98e489d
12.2,217,141,72,157,#d98d489d
12.3,217,140,72,157,#d98c489d
12.4,217,140,72,157,#d98c489d
12.5,218,139,72,157,#da8b489d
12.6,218,138,73,157,#da8a499d
12.7,218,138,73,157,#da8a499d
12.8,218,137,73,157,#da89499d
12.9,218,136,73,157,#da88499d
13.0,218,136,74,157,#da884a9d
13.1,218,135,74,157,#da874a9d
13.2,218,134,74,157,#da864a9d
13.3,218,134,74,157,#da864a9d
13.4,218,133,74,157,#da854a9d
13.5,218,132,75,157,#da844b9d
13.6,218,132,75,157,#da844b9d
13.7,218,131,75,157,#da834b9d
13.8,218,130,75,157,#da824b9d
13.9,218,129,76,157,#da814c9d
14.0,218,129,76,157,#da814c9d
14.1,218,128,76,157,#da804c9d
