value,r,g,b,a,hex
0.0,29,255,233,157,#1dffe99d
0.5,34,216,230,157,#22d8e69d
1.0,39,176,227,157,#27b0e39d
1.5,55,181,238,157,#37b5ee9d
2.0,71,186,249,157,#47baf99d
2.5,94,218,197,157,#5edac59d
3.0,117,250,145,157,#75fa919d
3.5,161,248,132,157,#a1f8849d
4.0,205,247,119,157,#cdf7779d
4.5,218,228,119,157,#dae4779d
5.0,230,210,118,157,#e6d2769d
5.5,242,191,118,157,#f2bf769d
6.0,255,172,118,157,#ffac769d
6.5,255,162,102,157,#ffa2669d
7.0,254,152,85,157,#fe98559d
7.5,254,142,68,157,#fe8e449d
8.0,254,132,52,157,#fe84349d
8.5,253,130,63,157,#fd823f9d
9.0,253,127,74,157,#fd7f4a9d
9.5,252,124,85,157,#fc7c559d
10.0,251,122,96,157,#fb7a609d
10.5,251,120,107,157,#fb786b9d
11.0,250,117,118,157,#fa75769d
