value,r,g,b,a,hex
0.0,29,255,233,157,#1dffe99d
1.0,32,229,231,157,#20e5e79d
2.0,36,202,229,157,#24cae59d
3.0,39,176,227,157,#27b0e39d
4.0,50,179,234,157,#32b3ea9d
5.0,60,183,242,157,#3cb7f29d
6.0,71,186,249,157,#47baf99d
7.0,86,207,214,157,#56cfd69d
8.0,102,229,180,157,#66e5b49d
9.0,117,250,145,157,#75fa919d
10.0,146,249,136,157,#92f9889d
11.0,176,248,128,157,#b0f8809d
12.0,205,247,119,157,#cdf7779d
13.0,222,222,119,157,#dede779d
14.0,238,197,118,157,#eec5769d
15.0,255,172,118,157,#ffac769d
16.0,255,159,96,157,#ff9f609d
17.0,254,145,74,157,#fe914a9d
18.0,254,132,52,157,#fe84349d
19.0,253,127,74,157,#fd7f4a9d
20.0,251,122,96,157,#fb7a609d
21.0,250,117,118,157,#fa75769d
