value,r,g,b,a,hex
0.0,97,92,122,157,#615c7a9d
1.0,96,93,141,157,#605d8d9d
2.0,94,94,160,157,#5e5ea09d
3.0,84,99,172,157,#5463ac9d
4.0,75,104,183,157,#4b68b79d
5.0,70,121,182,157,#4679b69d
6.0,66,138,180,157,#428ab49d
7.0,72,153,166,157,#4899a69d
8.0,78,168,151,157,#4ea8979d
9.0,80,176,122,157,#50b07a9d
10.0,81,183,94,157,#51b75e9d
11.0,88,188,86,157,#58bc569d
12.0,94,193,79,157,#5ec14f9d
13.0,120,198,77,157,#78c64d9d
14.0,146,203,75,157,#92cb4b9d
15.0,164,204,72,157,#a4cc489d
16.0,182,205,68,157,#b6cd449d
17.0,199,206,65,157,#c7ce419d
18.0,217,207,62,157,#d9cf3e9d
19.0,217,195,64,157,#d9c3409d
20.0,216,184,66,157,#d8b8429d
21.0,216,172,67,157,#d8ac439d
22.0,216,160,69,157,#d8a0459d
23.0,214,146,74,157,#d6924a9d
24.0,212,132,79,157,#d4844f9d
25.0,211,117,84,157,#d375549d
26.0,209,103,89,157,#d167599d
27.0,199,91,91,157,#c75b5b9d
28.0,189,79,92,157,#bd4f5c9d
29.0,179,67,94,157,#b3435e9d
30.0,169,55,96,157,#a937609d
31.0,159,48,90,157,#9f305a9d
32.0,149,42,83,157,#952a539d
33.0,139,36,76,157,#8b244c9d
34.0,129,29,70,157,#811d469d
35.0,114,24,59,157,#72183b9d
36.0,98,20,48,157,#6214309d
37.0,83,15,36,157,#530f249d
38.0,68,10,25,157,#440a199d
39.0,62,8,19,157,#3e08139d
40.0,56,5,13,157,#38050d9d
41.0,49,2,7,157,#3102079d
42.0,43,0,1,157,#2b00019d
